Symptom,Specialist
weight loss,Rheumatologist
constipation,Endocrinologist
ear pain,Dentist
low blood pressure,Allergist
dizziness,Endocrinologist
tingling sensation,Urologist
memory loss,General Physician
fever,Oncologist
fatigue,Cardiologist
weight gain,Dermatologist
nausea,Pediatrician
weight gain,Gastroenterologist
shortness of breath,Dentist
anxiety,Ophthalmologist
frequent headaches,Cardiologist
burning sensation,General Physician
tingling sensation,Rheumatologist
loss of appetite,Allergist
hearing loss,Cardiologist
hair loss,Neurologist
low blood pressure,Neurologist
diarrhea,Pulmonologist
irregular heartbeat,Allergist
depression,Otolaryngologist (ENT)
difficulty swallowing,Cardiologist
urinary pain,Gastroenterologist
cold sweats,Rheumatologist
breathlessness,Ophthalmologist
memory loss,Nephrologist
difficulty swallowing,Neurologist
breathlessness,Cardiologist
ear pain,Urologist
loss of balance,Orthopedic Surgeon
shortness of breath,Gynecologist
shortness of breath,Dermatologist
joint pain,Pulmonologist
weight gain,Neurologist
palpitations,Neurologist
shortness of breath,Otolaryngologist (ENT)
blurry vision,Pulmonologist
loss of appetite,Psychiatrist
constipation,Endocrinologist
allergies,Gynecologist
neck stiffness,Allergist
acid reflux,General Physician
frequent headaches,Allergist
diarrhea,Gynecologist
difficulty swallowing,Ophthalmologist
chest pain,Orthopedic Surgeon
muscle weakness,General Physician
muscle pain,Rheumatologist
blurry vision,Otolaryngologist (ENT)
hair loss,General Physician
burning sensation,General Physician
irregular heartbeat,Dentist
headache,Nephrologist
abdominal pain,Nephrologist
ear pain,Neurologist
weight gain,Rheumatologist
insomnia,Gynecologist
palpitations,Allergist
night sweats,Dermatologist
high blood pressure,Dentist
allergies,Orthopedic Surgeon
diarrhea,Pediatrician
swollen lymph nodes,Pulmonologist
abdominal pain,Hematologist
high blood pressure,Urologist
tingling sensation,General Physician
loss of balance,Gastroenterologist
loss of balance,Orthopedic Surgeon
loss of balance,Pediatrician
night sweats,Orthopedic Surgeon
cold sweats,Hematologist
cough,Endocrinologist
skin discoloration,Hematologist
hearing loss,Allergist
frequent headaches,Ophthalmologist
chills,Neurologist
weight gain,Neurologist
fever,Pulmonologist
skin rash,Otolaryngologist (ENT)
chest pain,Pulmonologist
weight loss,Urologist
sneezing,Neurologist
muscle pain,Pulmonologist
tingling sensation,Otolaryngologist (ENT)
abdominal pain,Psychiatrist
nausea,General Physician
swollen lymph nodes,Gynecologist
allergies,Hematologist
memory loss,Dentist
skin discoloration,Urologist
high blood pressure,Oncologist
neck stiffness,Ophthalmologist
high blood pressure,Pediatrician
cold sweats,Orthopedic Surgeon
urinary pain,Oncologist
chronic cough,Ophthalmologist
cough,Pediatrician
sneezing,Dentist
neck stiffness,Nephrologist
hair loss,Gastroenterologist
loss of balance,Dentist
muscle weakness,Psychiatrist
urinary pain,Ophthalmologist
difficulty swallowing,Psychiatrist
difficulty swallowing,Rheumatologist
allergies,Otolaryngologist (ENT)
weight gain,Urologist
ear pain,Allergist
muscle weakness,Pulmonologist
urinary pain,Allergist
abdominal pain,Gynecologist
allergies,Ophthalmologist
insomnia,Rheumatologist
hair loss,Allergist
breathlessness,Gastroenterologist
sore throat,Cardiologist
chronic cough,Neurologist
skin discoloration,Dentist
depression,Psychiatrist
muscle pain,Cardiologist
irregular heartbeat,Ophthalmologist
headache,Allergist
memory loss,Neurologist
sneezing,Oncologist
weight gain,Otolaryngologist (ENT)
headache,Nephrologist
skin discoloration,Neurologist
cough,Orthopedic Surgeon
irregular heartbeat,Oncologist
muscle weakness,Otolaryngologist (ENT)
skin discoloration,Endocrinologist
depression,Gastroenterologist
skin rash,Dentist
frequent headaches,Neurologist
fever,Rheumatologist
neck stiffness,Cardiologist
anxiety,Orthopedic Surgeon
allergies,Endocrinologist
hearing loss,Urologist
swollen lymph nodes,Pulmonologist
abdominal pain,Otolaryngologist (ENT)
skin rash,Pediatrician
anxiety,Orthopedic Surgeon
dizziness,Rheumatologist
breathlessness,Orthopedic Surgeon
dizziness,Rheumatologist
fatigue,Gastroenterologist
nausea,Psychiatrist
insomnia,Pulmonologist
back pain,Gynecologist
skin rash,Ophthalmologist
depression,Gastroenterologist
burning sensation,Pulmonologist
frequent urination,Urologist
cold sweats,Otolaryngologist (ENT)
hair loss,Gastroenterologist
allergies,Dentist
blurry vision,Endocrinologist
headache,Gastroenterologist
loss of balance,Psychiatrist
chest pain,Allergist
dry mouth,Pulmonologist
insomnia,Orthopedic Surgeon
back pain,Orthopedic Surgeon
back pain,Oncologist
fatigue,Gynecologist
sneezing,Pulmonologist
urinary pain,Ophthalmologist
vomiting,Cardiologist
abdominal pain,Oncologist
swollen lymph nodes,Ophthalmologist
night sweats,Oncologist
frequent urination,Allergist
acid reflux,Psychiatrist
irregular heartbeat,Ophthalmologist
chronic cough,Hematologist
eye redness,Nephrologist
tingling sensation,Urologist
allergies,Gastroenterologist
frequent headaches,Neurologist
chills,General Physician
diarrhea,Ophthalmologist
difficulty swallowing,Cardiologist
shortness of breath,General Physician
headache,Cardiologist
sneezing,Dermatologist
dry mouth,Nephrologist
memory loss,Gastroenterologist
irregular heartbeat,Psychiatrist
night sweats,Cardiologist
ear pain,Ophthalmologist
loss of appetite,Orthopedic Surgeon
fatigue,Pulmonologist
diarrhea,Urologist
urinary pain,Hematologist
palpitations,Pediatrician
shortness of breath,Urologist
night sweats,Psychiatrist
hearing loss,Orthopedic Surgeon
burning sensation,General Physician
weight loss,General Physician
neck stiffness,Gynecologist
insomnia,Pediatrician
blurry vision,Dermatologist
tingling sensation,Hematologist
memory loss,Dermatologist
dry mouth,Cardiologist
chronic cough,Psychiatrist
skin rash,Otolaryngologist (ENT)
tingling sensation,Cardiologist
skin rash,Nephrologist
dizziness,Orthopedic Surgeon
joint pain,Oncologist
sneezing,Otolaryngologist (ENT)
vomiting,Allergist
swollen lymph nodes,Nephrologist
dizziness,Otolaryngologist (ENT)
acid reflux,Pediatrician
night sweats,Gynecologist
cough,Oncologist
dry mouth,Psychiatrist
difficulty swallowing,Oncologist
loss of balance,Allergist
swollen lymph nodes,Orthopedic Surgeon
abdominal pain,Gastroenterologist
hair loss,Allergist
dizziness,Hematologist
chronic cough,Otolaryngologist (ENT)
chronic cough,Pulmonologist
burning sensation,Pediatrician
night sweats,Urologist
sore throat,Urologist
dry mouth,Neurologist
vomiting,Allergist
low blood pressure,Pulmonologist
chills,Urologist
cough,Nephrologist
palpitations,General Physician
abdominal pain,Dermatologist
back pain,Gynecologist
hair loss,Allergist
fatigue,Rheumatologist
back pain,Urologist
eye redness,General Physician
frequent headaches,Pediatrician
loss of appetite,Dermatologist
hair loss,Dermatologist
joint pain,Ophthalmologist
muscle pain,Otolaryngologist (ENT)
dry mouth,General Physician
back pain,Neurologist
weight gain,Psychiatrist
memory loss,Endocrinologist
neck stiffness,Otolaryngologist (ENT)
diarrhea,Oncologist
swollen lymph nodes,Nephrologist
cold sweats,Oncologist
chest pain,Neurologist
nausea,Allergist
acid reflux,Pulmonologist
skin rash,Neurologist
frequent headaches,Cardiologist
swollen lymph nodes,Allergist
dizziness,Psychiatrist
joint pain,Orthopedic Surgeon
cold sweats,General Physician
diarrhea,Orthopedic Surgeon
sneezing,Cardiologist
frequent urination,General Physician
low blood pressure,Endocrinologist
abdominal pain,Rheumatologist
fatigue,Dermatologist
cold sweats,Otolaryngologist (ENT)
joint pain,Pediatrician
irregular heartbeat,Neurologist
shortness of breath,Cardiologist
difficulty swallowing,Ophthalmologist
low blood pressure,Hematologist
swollen lymph nodes,General Physician
night sweats,Ophthalmologist
eye redness,Allergist
urinary pain,Endocrinologist
ear pain,Dermatologist
frequent headaches,Gastroenterologist
palpitations,Endocrinologist
neck stiffness,Pulmonologist
frequent headaches,Rheumatologist
loss of appetite,Neurologist
dry mouth,Pulmonologist
dry mouth,Pulmonologist
depression,Dermatologist
loss of appetite,Urologist
neck stiffness,Oncologist
loss of appetite,Endocrinologist
low blood pressure,Otolaryngologist (ENT)
weight loss,Endocrinologist
dry mouth,Otolaryngologist (ENT)
swollen lymph nodes,Neurologist
constipation,Dermatologist
frequent headaches,Orthopedic Surgeon
tingling sensation,Pulmonologist
depression,Gastroenterologist
difficulty swallowing,Hematologist
dizziness,Orthopedic Surgeon
high blood pressure,Oncologist
chest pain,Allergist
chest pain,Ophthalmologist
hearing loss,Urologist
irregular heartbeat,Allergist
chronic cough,Allergist
low blood pressure,General Physician
swollen lymph nodes,Dermatologist
abdominal pain,Nephrologist
tingling sensation,Endocrinologist
depression,Nephrologist
insomnia,Endocrinologist
allergies,Neurologist
sneezing,Cardiologist
loss of appetite,Allergist
irregular heartbeat,Dentist
depression,Oncologist
hair loss,Ophthalmologist
weight gain,Orthopedic Surgeon
night sweats,Gynecologist
fever,Nephrologist
anxiety,Gastroenterologist
tingling sensation,Endocrinologist
chills,Cardiologist
chest pain,Dermatologist
cough,General Physician
muscle weakness,Oncologist
dry mouth,Allergist
joint pain,Pediatrician
fatigue,Allergist
cold sweats,Pediatrician
night sweats,Gynecologist
palpitations,Orthopedic Surgeon
urinary pain,Allergist
nausea,Endocrinologist
cough,Pediatrician
insomnia,Pediatrician
chills,Ophthalmologist
cough,Pediatrician
nausea,Oncologist
fever,Cardiologist
blurry vision,Dermatologist
ear pain,Psychiatrist
muscle pain,General Physician
ear pain,Endocrinologist
eye redness,Allergist
hearing loss,Dermatologist
allergies,Otolaryngologist (ENT)
fatigue,Gynecologist
chest pain,Neurologist
cold sweats,Dentist
urinary pain,Otolaryngologist (ENT)
cold sweats,Hematologist
shortness of breath,Pulmonologist
chest pain,Psychiatrist
depression,Otolaryngologist (ENT)
fatigue,Pediatrician
loss of appetite,Neurologist
chills,Gynecologist
breathlessness,Orthopedic Surgeon
depression,Allergist
burning sensation,Neurologist
muscle weakness,Ophthalmologist
memory loss,Ophthalmologist
headache,Neurologist
sneezing,Dentist
blurry vision,Pediatrician
loss of balance,Gastroenterologist
hearing loss,Dermatologist
loss of balance,Urologist
insomnia,Nephrologist
dizziness,General Physician
skin discoloration,Oncologist
loss of balance,Pulmonologist
muscle weakness,Dermatologist
irregular heartbeat,Hematologist
neck stiffness,Dentist
night sweats,Urologist
cough,Pediatrician
eye redness,Urologist
joint pain,Gastroenterologist
loss of balance,Allergist
weight loss,Gynecologist
chills,Hematologist
chest pain,Allergist
cold sweats,Psychiatrist
muscle pain,Orthopedic Surgeon
high blood pressure,Dermatologist
ear pain,Otolaryngologist (ENT)
frequent headaches,Hematologist
chest pain,Pulmonologist
skin discoloration,Nephrologist
weight gain,Urologist
blurry vision,Ophthalmologist
burning sensation,Dermatologist
hearing loss,Dentist
low blood pressure,Gastroenterologist
depression,Endocrinologist
nausea,General Physician
sneezing,Dentist
dizziness,Rheumatologist
night sweats,Gastroenterologist
skin discoloration,Orthopedic Surgeon
irregular heartbeat,Dentist
loss of balance,Allergist
allergies,Urologist
loss of appetite,Dentist
depression,Otolaryngologist (ENT)
loss of appetite,Gastroenterologist
night sweats,Cardiologist
chest pain,Otolaryngologist (ENT)
weight loss,Dentist
abdominal pain,Endocrinologist
back pain,Rheumatologist
allergies,Ophthalmologist
loss of balance,Pulmonologist
skin rash,Ophthalmologist
depression,Hematologist
night sweats,Urologist
anxiety,Psychiatrist
memory loss,Ophthalmologist
low blood pressure,Rheumatologist
hearing loss,Rheumatologist
insomnia,Orthopedic Surgeon
nausea,Ophthalmologist
loss of appetite,Urologist
chills,Dermatologist
high blood pressure,Orthopedic Surgeon
high blood pressure,Gynecologist
loss of appetite,General Physician
cold sweats,Urologist
insomnia,Ophthalmologist
acid reflux,Dentist
hair loss,Cardiologist
irregular heartbeat,Pediatrician
allergies,General Physician
loss of balance,Orthopedic Surgeon
weight loss,Rheumatologist
night sweats,Neurologist
breathlessness,Cardiologist
weight loss,Cardiologist
chills,Neurologist
swollen lymph nodes,Pediatrician
difficulty swallowing,Neurologist
headache,General Physician
dry mouth,Otolaryngologist (ENT)
back pain,Orthopedic Surgeon
swollen lymph nodes,Urologist
allergies,Neurologist
high blood pressure,Orthopedic Surgeon
weight gain,Endocrinologist
frequent headaches,Dermatologist
dry mouth,Psychiatrist
skin discoloration,Gastroenterologist
back pain,Allergist
fatigue,Dentist
abdominal pain,Rheumatologist
difficulty swallowing,Cardiologist
irregular heartbeat,Pulmonologist
difficulty swallowing,Orthopedic Surgeon
cold sweats,Nephrologist
urinary pain,Psychiatrist
ear pain,Cardiologist
abdominal pain,Neurologist
vomiting,Otolaryngologist (ENT)
frequent headaches,Allergist
back pain,Allergist
skin discoloration,Pediatrician
ear pain,Allergist
acid reflux,Cardiologist
vomiting,General Physician
back pain,Gynecologist
loss of balance,Allergist
loss of appetite,Oncologist
frequent urination,Gastroenterologist
sore throat,Cardiologist
swollen lymph nodes,Hematologist
loss of balance,Cardiologist
palpitations,Dermatologist
dry mouth,Psychiatrist
weight gain,Psychiatrist
blurry vision,Dentist
dry mouth,Pediatrician
muscle weakness,Neurologist
abdominal pain,Rheumatologist
breathlessness,Endocrinologist
loss of appetite,Orthopedic Surgeon
vomiting,Pulmonologist
memory loss,Allergist
low blood pressure,Dermatologist
blurry vision,Gynecologist
joint pain,Cardiologist
abdominal pain,Pulmonologist
sneezing,Urologist
allergies,Dentist
abdominal pain,Rheumatologist
sore throat,Cardiologist
irregular heartbeat,Psychiatrist
headache,Dentist
palpitations,Dentist
dry mouth,Dentist
joint pain,Gynecologist
skin rash,Cardiologist
fever,Orthopedic Surgeon
skin rash,Neurologist
joint pain,Gastroenterologist
anxiety,Gastroenterologist
depression,Hematologist
fever,Cardiologist
constipation,Neurologist
sore throat,Gynecologist
ear pain,Ophthalmologist
irregular heartbeat,General Physician
skin discoloration,Cardiologist
frequent urination,Rheumatologist
sore throat,Pulmonologist
cold sweats,Orthopedic Surgeon
urinary pain,Pulmonologist
sneezing,Allergist
loss of appetite,Cardiologist
difficulty swallowing,Dentist
acid reflux,Allergist
swollen lymph nodes,Dermatologist
muscle weakness,Endocrinologist
allergies,Hematologist
palpitations,Otolaryngologist (ENT)
insomnia,Gastroenterologist
blurry vision,Dentist
headache,Psychiatrist
irregular heartbeat,Dermatologist
diarrhea,Oncologist
allergies,Oncologist
muscle weakness,Allergist
low blood pressure,Oncologist
palpitations,Hematologist
low blood pressure,Rheumatologist
muscle pain,Urologist
hearing loss,General Physician
frequent headaches,Psychiatrist
tingling sensation,Cardiologist
joint pain,Allergist
high blood pressure,Orthopedic Surgeon
chest pain,Dermatologist
breathlessness,Neurologist
memory loss,General Physician
chest pain,Orthopedic Surgeon
dry mouth,Dermatologist
ear pain,Dentist
swollen lymph nodes,Endocrinologist
weight gain,Ophthalmologist
insomnia,Urologist
cough,Hematologist
swollen lymph nodes,Orthopedic Surgeon
constipation,Rheumatologist
memory loss,Gynecologist
constipation,Dentist
chronic cough,Pulmonologist
shortness of breath,Endocrinologist
cough,Pulmonologist
memory loss,Rheumatologist
fatigue,Urologist
difficulty swallowing,Gynecologist
frequent urination,Ophthalmologist
difficulty swallowing,Urologist
breathlessness,Otolaryngologist (ENT)
loss of balance,Dermatologist
chest pain,Gastroenterologist
headache,Dermatologist
dizziness,Gastroenterologist
irregular heartbeat,Pulmonologist
palpitations,Ophthalmologist
anxiety,Gastroenterologist
cough,Allergist
frequent urination,Pediatrician
loss of appetite,Pulmonologist
loss of appetite,Nephrologist
cold sweats,Oncologist
vomiting,Rheumatologist
joint pain,Orthopedic Surgeon
acid reflux,Nephrologist
palpitations,Allergist
skin discoloration,Endocrinologist
weight gain,Endocrinologist
neck stiffness,Endocrinologist
cold sweats,Cardiologist
allergies,Otolaryngologist (ENT)
chronic cough,Dentist
back pain,Gastroenterologist
muscle weakness,Dermatologist
muscle weakness,Endocrinologist
palpitations,Pediatrician
fatigue,Ophthalmologist
back pain,Dentist
ear pain,General Physician
acid reflux,Rheumatologist
blurry vision,Neurologist
skin rash,Allergist
ear pain,Dentist
difficulty swallowing,Gastroenterologist
burning sensation,Otolaryngologist (ENT)
blurry vision,Orthopedic Surgeon
dry mouth,Gastroenterologist
ear pain,Endocrinologist
memory loss,Gastroenterologist
ear pain,Pediatrician
tingling sensation,Dermatologist
joint pain,Dentist
muscle weakness,Rheumatologist
eye redness,Nephrologist
loss of appetite,Nephrologist
insomnia,Oncologist
weight loss,Allergist
chronic cough,Psychiatrist
fatigue,Ophthalmologist
chronic cough,Cardiologist
hearing loss,Pulmonologist
blurry vision,Psychiatrist
low blood pressure,Psychiatrist
back pain,Pediatrician
depression,Endocrinologist
shortness of breath,Rheumatologist
skin rash,Hematologist
burning sensation,Ophthalmologist
burning sensation,Dentist
nausea,Gastroenterologist
shortness of breath,Cardiologist
eye redness,Dentist
dizziness,Dermatologist
weight gain,General Physician
sore throat,Allergist
burning sensation,General Physician
muscle pain,Pediatrician
cough,Cardiologist
back pain,General Physician
neck stiffness,Pediatrician
loss of balance,Dentist
palpitations,Pediatrician
fatigue,Hematologist
cold sweats,Pulmonologist
urinary pain,Otolaryngologist (ENT)
tingling sensation,Hematologist
weight loss,Allergist
skin rash,Psychiatrist
sore throat,General Physician
fatigue,General Physician
tingling sensation,Ophthalmologist
chest pain,Orthopedic Surgeon
muscle weakness,Rheumatologist
nausea,Allergist
fever,Pediatrician
depression,Pulmonologist
palpitations,Gastroenterologist
loss of appetite,Dermatologist
diarrhea,Nephrologist
abdominal pain,Dentist
high blood pressure,Allergist
weight gain,Dermatologist
frequent headaches,Orthopedic Surgeon
loss of appetite,Cardiologist
low blood pressure,Allergist
breathlessness,Oncologist
frequent headaches,Rheumatologist
burning sensation,Gynecologist
skin discoloration,Oncologist
urinary pain,Pulmonologist
chronic cough,Neurologist
cold sweats,Otolaryngologist (ENT)
skin rash,Oncologist
memory loss,General Physician
depression,Endocrinologist
neck stiffness,Dentist
chronic cough,Ophthalmologist
urinary pain,Gynecologist
skin rash,Neurologist
joint pain,Pediatrician
muscle pain,General Physician
difficulty swallowing,Psychiatrist
low blood pressure,Urologist
abdominal pain,Nephrologist
allergies,Gynecologist
swollen lymph nodes,Gynecologist
shortness of breath,Rheumatologist
chest pain,Orthopedic Surgeon
loss of appetite,Gastroenterologist
allergies,Pediatrician
anxiety,Cardiologist
fever,Pulmonologist
night sweats,Dentist
urinary pain,General Physician
eye redness,Pulmonologist
skin rash,Gastroenterologist
depression,Oncologist
weight gain,Oncologist
abdominal pain,Pediatrician
low blood pressure,Dentist
frequent urination,Orthopedic Surgeon
breathlessness,Gynecologist
frequent urination,Cardiologist
ear pain,Otolaryngologist (ENT)
loss of appetite,Urologist
swollen lymph nodes,General Physician
swollen lymph nodes,General Physician
fatigue,Pulmonologist
muscle pain,Dermatologist
back pain,Urologist
frequent headaches,Dermatologist
back pain,Hematologist
ear pain,Oncologist
muscle weakness,Psychiatrist
muscle pain,Rheumatologist
tingling sensation,Cardiologist
loss of balance,Rheumatologist
breathlessness,Urologist
fatigue,Cardiologist
burning sensation,Gastroenterologist
sore throat,Cardiologist
sneezing,Neurologist
hair loss,Endocrinologist
neck stiffness,Ophthalmologist
muscle weakness,Allergist
irregular heartbeat,Psychiatrist
nausea,Cardiologist
sneezing,Neurologist
frequent urination,Pediatrician
headache,Hematologist
dry mouth,Otolaryngologist (ENT)
high blood pressure,Gynecologist
dry mouth,Rheumatologist
joint pain,Gastroenterologist
hair loss,Hematologist
insomnia,Urologist
swollen lymph nodes,Psychiatrist
swollen lymph nodes,Orthopedic Surgeon
breathlessness,Oncologist
headache,Ophthalmologist
hearing loss,General Physician
cold sweats,Urologist
diarrhea,Dermatologist
night sweats,Nephrologist
loss of balance,Urologist
irregular heartbeat,Ophthalmologist
cold sweats,Gynecologist
loss of appetite,Dentist
difficulty swallowing,Urologist
diarrhea,Nephrologist
hearing loss,Oncologist
abdominal pain,Endocrinologist
back pain,Hematologist
back pain,Pulmonologist
nausea,Pulmonologist
vomiting,Nephrologist
diarrhea,General Physician
muscle pain,Dermatologist
constipation,Otolaryngologist (ENT)
blurry vision,General Physician
cold sweats,Ophthalmologist
chills,Urologist
low blood pressure,Ophthalmologist
vomiting,Endocrinologist
allergies,Nephrologist
dry mouth,Rheumatologist
diarrhea,Urologist
allergies,Oncologist
shortness of breath,Neurologist
nausea,General Physician
sore throat,Allergist
blurry vision,Ophthalmologist
cold sweats,Urologist
sneezing,Endocrinologist
tingling sensation,Nephrologist
vomiting,Endocrinologist
allergies,Allergist
cough,Hematologist
anxiety,Pediatrician
memory loss,Dentist
depression,Otolaryngologist (ENT)
palpitations,Pulmonologist
dizziness,Oncologist
back pain,Pulmonologist
urinary pain,Otolaryngologist (ENT)
memory loss,Pediatrician
weight loss,Gynecologist
vomiting,Rheumatologist
allergies,Ophthalmologist
headache,Cardiologist
blurry vision,Ophthalmologist
dizziness,Rheumatologist
vomiting,Dentist
vomiting,Otolaryngologist (ENT)
hair loss,Psychiatrist
palpitations,Dentist
dry mouth,Psychiatrist
chronic cough,Rheumatologist
fever,Pediatrician
fever,Urologist
blurry vision,Pulmonologist
neck stiffness,Ophthalmologist
blurry vision,Pediatrician
nausea,Nephrologist
neck stiffness,Nephrologist
loss of appetite,Oncologist
loss of balance,Cardiologist
cough,General Physician
hair loss,General Physician
diarrhea,Dermatologist
insomnia,Pediatrician
fever,Endocrinologist
back pain,Urologist
sneezing,Nephrologist
insomnia,Dentist
dry mouth,Oncologist
neck stiffness,Pulmonologist
cough,Pediatrician
sneezing,Orthopedic Surgeon
tingling sensation,Hematologist
tingling sensation,Pulmonologist
headache,Gynecologist
blurry vision,Orthopedic Surgeon
swollen lymph nodes,Gynecologist
skin discoloration,Endocrinologist
cold sweats,Dentist
muscle pain,Oncologist
weight loss,Gastroenterologist
eye redness,Otolaryngologist (ENT)
frequent urination,Allergist
frequent urination,Neurologist
dry mouth,Otolaryngologist (ENT)
loss of appetite,Pediatrician
ear pain,Orthopedic Surgeon
chills,Orthopedic Surgeon
constipation,Cardiologist
allergies,Gastroenterologist
high blood pressure,Psychiatrist
nausea,General Physician
allergies,Rheumatologist
palpitations,Psychiatrist
blurry vision,Nephrologist
frequent urination,Gynecologist
irregular heartbeat,Psychiatrist
cold sweats,Dermatologist
fever,Neurologist
hair loss,Endocrinologist
hair loss,Orthopedic Surgeon
neck stiffness,Endocrinologist
loss of appetite,Nephrologist
irregular heartbeat,Ophthalmologist
anxiety,Gynecologist
anxiety,Orthopedic Surgeon
hearing loss,Pulmonologist
vomiting,Pulmonologist
acid reflux,Cardiologist
headache,General Physician
swollen lymph nodes,Cardiologist
fever,Pediatrician
eye redness,Otolaryngologist (ENT)
dizziness,Oncologist
muscle pain,Gastroenterologist
abdominal pain,General Physician
insomnia,Otolaryngologist (ENT)
insomnia,Cardiologist
joint pain,Psychiatrist
tingling sensation,Rheumatologist
skin discoloration,Gastroenterologist
muscle weakness,Pulmonologist
headache,Nephrologist
constipation,Nephrologist
difficulty swallowing,General Physician
anxiety,Dermatologist
neck stiffness,Oncologist
skin discoloration,Rheumatologist
frequent urination,General Physician
sore throat,Endocrinologist
dizziness,Nephrologist
neck stiffness,Pediatrician
cold sweats,Pediatrician
insomnia,Rheumatologist
vomiting,Psychiatrist
headache,Gynecologist
eye redness,Gastroenterologist
burning sensation,Endocrinologist
irregular heartbeat,Rheumatologist
fatigue,Hematologist
low blood pressure,Psychiatrist
irregular heartbeat,Orthopedic Surgeon
frequent headaches,Gynecologist
cold sweats,Otolaryngologist (ENT)
fever,Endocrinologist
muscle weakness,Pulmonologist
allergies,General Physician
burning sensation,Neurologist
chills,Allergist
blurry vision,Allergist
cold sweats,Neurologist
abdominal pain,Urologist
nausea,Rheumatologist
back pain,Neurologist
difficulty swallowing,Ophthalmologist
loss of appetite,Cardiologist
fatigue,Dentist
cold sweats,Neurologist
palpitations,Dentist
weight loss,Hematologist
depression,Endocrinologist
sneezing,Pediatrician
vomiting,Gastroenterologist
vomiting,Allergist
skin discoloration,Urologist
urinary pain,Gastroenterologist
back pain,Allergist
skin rash,Gastroenterologist
weight gain,Endocrinologist
neck stiffness,Allergist
muscle pain,Nephrologist
high blood pressure,Neurologist
burning sensation,Gynecologist
blurry vision,Pediatrician
weight gain,Hematologist
back pain,Oncologist
anxiety,Pediatrician
abdominal pain,Psychiatrist
insomnia,Oncologist
muscle weakness,Allergist
nausea,Cardiologist
skin discoloration,Urologist
weight gain,Hematologist
irregular heartbeat,Psychiatrist
nausea,Endocrinologist
constipation,Endocrinologist
anxiety,Endocrinologist
blurry vision,Ophthalmologist
back pain,Hematologist
back pain,Ophthalmologist
abdominal pain,Oncologist
abdominal pain,Rheumatologist
joint pain,Pediatrician
fatigue,Endocrinologist
palpitations,Orthopedic Surgeon
palpitations,Nephrologist
tingling sensation,Endocrinologist
muscle pain,Orthopedic Surgeon
palpitations,General Physician
hearing loss,Nephrologist
fatigue,Orthopedic Surgeon
memory loss,Dentist
weight loss,Dermatologist
nausea,Dentist
diarrhea,Hematologist
difficulty swallowing,Endocrinologist
back pain,Cardiologist
hair loss,Orthopedic Surgeon
blurry vision,General Physician
chronic cough,Oncologist
palpitations,Rheumatologist
breathlessness,Urologist
neck stiffness,General Physician
neck stiffness,Hematologist
chronic cough,Allergist
muscle weakness,Allergist
insomnia,Ophthalmologist
eye redness,Psychiatrist
low blood pressure,Hematologist
burning sensation,Allergist
weight gain,Gastroenterologist
hair loss,Rheumatologist
frequent urination,Psychiatrist
cough,Gastroenterologist
acid reflux,Rheumatologist
hearing loss,Dentist
hearing loss,Cardiologist
night sweats,Ophthalmologist
irregular heartbeat,Ophthalmologist
back pain,Endocrinologist
chronic cough,Dentist
memory loss,Neurologist
muscle pain,Hematologist
skin rash,Neurologist
weight loss,Hematologist
low blood pressure,Allergist
loss of balance,Ophthalmologist
weight loss,Psychiatrist
loss of appetite,Pulmonologist
skin discoloration,Endocrinologist
swollen lymph nodes,Nephrologist
chronic cough,Nephrologist
anxiety,Endocrinologist
weight loss,Dermatologist
frequent headaches,Dermatologist
low blood pressure,Oncologist
skin discoloration,Psychiatrist
weight gain,Orthopedic Surgeon
eye redness,Allergist
weight gain,Gynecologist
blurry vision,Neurologist
